GAge	GCity	GCity_X	GCity_Y	GSex	GState	ID_LM	PersonNights	QCulture	QFood	QRoom	QSatisfaction	QService	SaturdayNights	Season	VFrom	VNights	VPersons	VPriceDeduction	VPriceFood	VPriceRoom	VPriceTotal	VTypeOfVisit	WSky	WTemperature	XEUR
25	Wien	16.3736767	48.2115631	female	Austria	513	7	38	30	16	low	27	-1	-1	2012-07-14 00:00:00	7	1	200	1050	8470	9320	private	sunny	25.8	25.4
25	Gdaòsk	18.6560864	54.3482911	male	Poland	514	1	23	97	99	high	87	-1	-1	2012-07-14 00:00:00	1	1	200	0	1210	1010	private	sunny	25.8	25.4
26	Budweis	14.4757883	48.9763169	male	CR	515	2	59	88	91	high	73	-1	-1	2012-07-14 00:00:00	1	2	200	300	2420	2520	private	sunny	25.8	25.4
76	Praha	14.4212806	50.0874967	female	CR	516	1	62	43	41	average	72	0	-1	2012-07-19 00:00:00	1	1	0	0	1210	1210	business	sunny	24.4	25.33
58	Praha	14.4212806	50.0874967	male	CR	517	1	58	54	44	average	46	0	-1	2012-07-19 00:00:00	1	1	0	150	1210	1360	business	sunny	24.4	25.33
74	Ústí nad Labem	14.0390819	50.6700692	male	CR	518	1	47	52	60	average	72	0	-1	2012-07-19 00:00:00	1	1	0	0	1210	1210	business	sunny	24.4	25.33
51	Praha	14.4212806	50.0874967	male	CR	519	1	34	53	26	average	60	0	-1	2012-07-19 00:00:00	1	1	0	150	1210	1360	business	sunny	24.4	25.33
30	Praha	14.4212806	50.0874967	female	CR	520	2	48	65	26	average	54	0	-1	2012-07-19 00:00:00	1	2	0	300	2420	2720	business	sunny	24.4	25.33
35	München	11.5836375	48.1364669	male	Germany	521	1	47	53	49	average	57	0	-1	2012-07-19 00:00:00	1	1	0	150	1210	1360	business	sunny	24.4	25.33
74	Praha	14.4212806	50.0874967	male	CR	522	2	45	60	33	average	45	0	-1	2012-07-19 00:00:00	1	2	0	300	2420	2720	business	sunny	24.4	25.33
73	Praha	14.4212806	50.0874967	female	CR	523	1	36	66	49	average	43	0	-1	2012-07-19 00:00:00	1	1	0	0	1210	1210	business	sunny	24.4	25.33
24	München	11.5836375	48.1364669	male	Germany	524	4	48	43	41	average	46	-1	-1	2012-07-20 00:00:00	2	2	200	600	4840	5240	private	cloudy	23.1	25.57
70	München	11.5836375	48.1364669	male	Germany	525	8	60	57	58	average	41	-1	-1	2012-07-20 00:00:00	2	4	200	1200	9680	10680	private	cloudy	23.1	25.57
33	Linz	14.2862742	48.3066489	female	Austria	526	2	58	60	27	average	58	-1	-1	2012-07-20 00:00:00	2	1	200	300	2420	2520	private	cloudy	23.1	25.57
66	München	11.5836375	48.1364669	male	Germany	527	4	51	44	42	average	42	-1	-1	2012-07-20 00:00:00	2	2	200	0	4840	4640	private	cloudy	23.1	25.57
27	Praha	14.4212806	50.0874967	male	CR	528	4	50	68	41	average	72	-1	-1	2012-07-20 00:00:00	2	2	200	0	4840	4640	private	cloudy	23.1	25.57
36	München	11.5836375	48.1364669	female	Germany	529	4	58	55	52	average	43	-1	-1	2012-07-20 00:00:00	2	2	200	600	4840	5240	private	cloudy	23.1	25.57
28	Linz	14.2862742	48.3066489	male	Austria	530	8	36	57	60	average	58	-1	-1	2012-07-20 00:00:00	2	4	200	0	9680	9480	private	cloudy	23.1	25.57
35	München	11.5836375	48.1364669	female	Germany	531	4	45	60	27	average	57	-1	-1	2012-07-20 00:00:00	2	2	200	0	4840	4640	private	cloudy	23.1	25.57
28	München	11.5836375	48.1364669	female	Germany	554	8	62	67	51	average	42	-1	-1	2012-07-27 00:00:00	2	4	200	1200	9680	10680	private	rain/snow	23.0	25.31
76	Praha	14.4212806	50.0874967	female	CR	555	28	39	30	37	low	23	-1	-1	2012-07-27 00:00:00	7	4	200	0	33880	33680	private	rain/snow	23.0	25.31
62	Linz	14.2862742	48.3066489	male	Austria	556	8	58	44	50	average	60	-1	-1	2012-07-27 00:00:00	2	4	200	0	9680	9480	private	rain/snow	23.0	25.31
35	Linz	14.2862742	48.3066489	female	Austria	557	4	62	56	50	average	59	-1	-1	2012-07-27 00:00:00	2	2	200	0	4840	4640	private	rain/snow	23.0	25.31
25	Ústí nad Labem	14.0390819	50.6700692	female	CR	558	28	45	36	31	low	13	-1	-1	2012-07-27 00:00:00	7	4	200	4200	33880	37880	private	rain/snow	23.0	25.31
67	Nitra	18.0902903	48.3139558	male	Slovakia	559	42	71	39	13	low	28	-1	-1	2012-07-28 00:00:00	14	3	200	6300	50820	56920	private	rain/snow	23.4	25.31
63	Salzburg	13.0475658	47.798095	female	Austria	560	2	28	83	92	high	100	0	-1	2012-07-31 00:00:00	2	1	0	0	2420	2420	private	cloudy	24.9	25.25
31	Salzburg	13.0475658	47.798095	female	Austria	561	4	21	94	89	high	100	0	-1	2012-07-31 00:00:00	2	2	0	600	4840	5440	private	cloudy	24.9	25.25
50	Salzburg	13.0475658	47.798095	male	Austria	562	4	49	85	81	high	87	0	-1	2012-07-31 00:00:00	2	2	0	600	4840	5440	private	cloudy	24.9	25.25
55	Salzburg	13.0475658	47.798095	female	Austria	563	4	50	89	96	high	85	0	-1	2012-07-31 00:00:00	2	2	0	600	4840	5440	private	cloudy	24.9	25.25
20	Salzburg	13.0475658	47.798095	male	Austria	564	4	57	96	81	high	64	0	-1	2012-07-31 00:00:00	2	2	0	0	4840	4840	private	cloudy	24.9	25.25
55	Salzburg	13.0475658	47.798095	female	Austria	565	4	21	90	82	high	63	0	-1	2012-07-31 00:00:00	2	2	0	600	4840	5440	private	cloudy	24.9	25.25
26	Ústí nad Labem	14.0390819	50.6700692	female	CR	566	28	4	36	30	low	23	-1	-1	2012-08-03 00:00:00	7	4	200	0	33880	33680	private	cloudy	25.6	25.28
33	Ústí nad Labem	14.0390819	50.6700692	female	CR	567	28	54	31	32	low	26	-1	-1	2012-08-03 00:00:00	7	4	200	4200	33880	37880	private	cloudy	25.6	25.28
65	Ústí nad Labem	14.0390819	50.6700692	male	CR	568	21	70	22	40	low	38	-1	-1	2012-08-03 00:00:00	7	3	200	3150	25410	28360	private	cloudy	25.6	25.28
39	Ústí nad Labem	14.0390819	50.6700692	female	CR	569	28	56	26	29	low	29	-1	-1	2012-08-03 00:00:00	7	4	200	4200	33880	37880	private	cloudy	25.6	25.28
27	Nitra	18.0902903	48.3139558	male	Slovakia	570	42	46	29	40	low	23	-1	-1	2012-08-04 00:00:00	14	3	200	0	50820	50620	private	sunny	25.6	25.28
47	Nitra	18.0902903	48.3139558	female	Slovakia	571	28	37	23	16	low	38	-1	-1	2012-08-04 00:00:00	14	2	200	4200	33880	37880	private	sunny	25.6	25.28
53	Nitra	18.0902903	48.3139558	female	Slovakia	572	42	38	27	24	low	40	-1	-1	2012-08-04 00:00:00	14	3	200	6300	50820	56920	private	sunny	25.6	25.28
39	Nitra	18.0902903	48.3139558	female	Slovakia	573	28	39	30	22	low	30	-1	-1	2012-08-04 00:00:00	14	2	200	0	33880	33680	private	sunny	25.6	25.28
66	Nitra	18.0902903	48.3139558	male	Slovakia	574	42	2	32	21	low	14	-1	-1	2012-08-04 00:00:00	14	3	200	0	50820	50620	private	sunny	25.6	25.28
51	Nitra	18.0902903	48.3139558	female	Slovakia	575	42	39	39	5	low	39	-1	-1	2012-08-04 00:00:00	14	3	200	0	50820	50620	private	sunny	25.6	25.28
82	Dresden	13.7397044	51.0497456	female	Germany	598	7	59	42	41	average	54	-1	-1	2012-08-21 00:00:00	7	1	200	0	8470	8270	private	sunny	18.6	24.78
66	Dresden	13.7397044	51.0497456	female	Germany	599	28	59	65	36	average	47	-1	-1	2012-08-21 00:00:00	7	4	200	4200	33880	37880	private	sunny	18.6	24.78
20	München	11.5836375	48.1364669	female	Germany	600	6	51	51	35	average	43	-1	-1	2012-08-24 00:00:00	2	3	200	0	7260	7060	private	rain/snow	26.3	24.91
65	München	11.5836375	48.1364669	female	Germany	601	4	35	56	35	average	55	-1	-1	2012-08-24 00:00:00	2	2	200	600	4840	5240	private	rain/snow	26.3	24.91
70	München	11.5836375	48.1364669	male	Germany	602	6	48	51	36	average	59	-1	-1	2012-08-24 00:00:00	2	3	200	900	7260	7960	private	rain/snow	26.3	24.91
77	München	11.5836375	48.1364669	female	Germany	603	4	48	44	51	average	71	-1	-1	2012-08-24 00:00:00	2	2	200	600	4840	5240	private	rain/snow	26.3	24.91
53	München	11.5836375	48.1364669	female	Germany	604	6	47	51	27	average	71	-1	-1	2012-08-24 00:00:00	2	3	200	900	7260	7960	private	rain/snow	26.3	24.91
39	München	11.5836375	48.1364669	female	Germany	605	6	46	41	33	average	43	-1	-1	2012-08-24 00:00:00	2	3	200	900	7260	7960	private	rain/snow	26.3	24.91
34	München	11.5836375	48.1364669	male	Germany	606	6	64	50	51	average	71	-1	-1	2012-08-24 00:00:00	2	3	200	900	7260	7960	private	rain/snow	26.3	24.91
21	Dresden	13.7397044	51.0497456	female	Germany	607	4	48	44	60	average	72	-1	-1	2012-08-24 00:00:00	2	2	200	600	4840	5240	private	rain/snow	26.3	24.91
31	Praha	14.4212806	50.0874967	male	CR	608	3	61	56	34	average	47	0	-1	2012-08-27 00:00:00	1	3	0	450	3630	4080	business	cloudy	23.2	24.85
20	Praha	14.4212806	50.0874967	male	CR	609	2	36	68	57	average	57	0	-1	2012-08-27 00:00:00	1	2	0	300	2420	2720	business	cloudy	23.2	24.85
64	Linz	14.2862742	48.3066489	male	Austria	610	7	48	58	41	average	45	-1	-1	2012-08-28 00:00:00	7	1	200	1050	8470	9320	private	rain/snow	21.9	24.82
51	Dresden	13.7397044	51.0497456	male	Germany	611	7	46	43	28	average	57	-1	-1	2012-08-28 00:00:00	7	1	200	1050	8470	9320	private	rain/snow	21.9	24.82
58	Praha	14.4212806	50.0874967	female	CR	612	4	50	43	41	average	71	-1	-1	2012-08-31 00:00:00	2	2	200	600	4840	5240	private	cloudy	24.9	24.84
77	Linz	14.2862742	48.3066489	male	Austria	613	6	46	23	6	low	32	-1	-1	2012-08-31 00:00:00	2	3	200	0	7260	7060	private	cloudy	24.9	24.84
28	Linz	14.2862742	48.3066489	male	Austria	614	8	71	32	30	low	28	-1	-1	2012-08-31 00:00:00	2	4	200	0	9680	9480	private	cloudy	24.9	24.84
28	Praha	14.4212806	50.0874967	male	CR	615	2	64	55	26	average	69	0	0	2012-09-03 00:00:00	1	2	0	0	2420	2420	business	cloudy	24.2	24.9
33	Praha	14.4212806	50.0874967	female	CR	616	1	48	58	26	average	48	0	0	2012-09-03 00:00:00	1	1	0	0	1210	1210	business	cloudy	24.2	24.9
18	Praha	14.4212806	50.0874967	male	CR	617	4	46	65	60	average	47	0	0	2012-09-03 00:00:00	1	4	0	0	4840	4840	business	cloudy	24.2	24.9
51	Praha	14.4212806	50.0874967	female	CR	618	6	40	23	24	low	27	-1	0	2012-09-07 00:00:00	2	3	200	0	7260	7060	private	sunny	19.3	24.59
25	Linz	14.2862742	48.3066489	male	Austria	619	6	53	30	38	low	31	-1	0	2012-09-07 00:00:00	2	3	200	0	7260	7060	private	sunny	19.3	24.59
74	Pilsen	13.3771556	49.7490406	female	CR	1218	2	72	81	83	high	88	0	0	2013-03-20 00:00:00	1	2	0	0	2900	2900	business	cloudy	-7.7	25.68
58	Ostrava	18.2825511	49.8341497	female	CR	1219	4	59	91	92	high	87	0	0	2013-03-20 00:00:00	1	4	0	0	5800	5800	business	cloudy	-7.7	25.68
70	Pilsen	13.3771556	49.7490406	male	CR	1220	2	60	77	90	high	91	0	0	2013-03-20 00:00:00	1	2	0	0	2900	2900	business	cloudy	-7.7	25.68
54	Pilsen	13.3771556	49.7490406	female	CR	1221	1	59	74	99	high	91	0	0	2013-03-20 00:00:00	1	1	0	0	1450	1450	business	cloudy	-7.7	25.68
67	Pilsen	13.3771556	49.7490406	male	CR	1222	2	56	76	89	high	96	0	0	2013-03-20 00:00:00	1	2	0	0	2900	2900	business	cloudy	-7.7	25.68
39	Budweis	14.4757883	48.9763169	male	CR	1223	14	83	60	58	average	69	-1	0	2013-03-21 00:00:00	7	2	200	0	20300	20100	business	cloudy	-5.5	25.81
20	Budweis	14.4757883	48.9763169	female	CR	1224	14	97	67	52	average	69	-1	0	2013-03-21 00:00:00	7	2	200	0	20300	20100	business	cloudy	-5.5	25.81
78	Budweis	14.4757883	48.9763169	female	CR	1225	14	81	58	59	average	70	-1	0	2013-03-21 00:00:00	7	2	200	0	20300	20100	business	cloudy	-5.5	25.81
60	Hradec Králové	15.8353464	50.2100194	female	CR	1226	14	33	22	24	low	32	-1	0	2013-03-21 00:00:00	7	2	200	0	20300	20100	business	cloudy	-5.5	25.81
51	Salzburg	13.0475658	47.798095	male	Austria	1227	14	97	67	41	average	64	-1	0	2013-03-21 00:00:00	7	2	200	0	20300	20100	business	cloudy	-5.5	25.81
33	Budweis	14.4757883	48.9763169	female	CR	1228	14	45	67	42	average	71	-1	0	2013-03-21 00:00:00	7	2	200	0	20300	20100	business	cloudy	-5.5	25.81
76	Budweis	14.4757883	48.9763169	female	CR	1229	14	48	67	52	average	45	-1	0	2013-03-21 00:00:00	7	2	200	0	20300	20100	business	cloudy	-5.5	25.81
35	Budweis	14.4757883	48.9763169	male	CR	1230	14	84	58	59	average	60	-1	0	2013-03-21 00:00:00	7	2	200	0	20300	20100	business	cloudy	-5.5	25.81
22	Salzburg	13.0475658	47.798095	male	Austria	1231	14	6	12	14	low	14	-1	0	2013-03-21 00:00:00	7	2	200	0	20300	20100	business	cloudy	-5.5	25.81
28	Jihlava	15.5909008	49.3963828	female	CR	1232	3	95	59	60	average	58	0	0	2013-03-22 00:00:00	1	3	0	0	4350	4350	business	sunny	-2.3	25.84
62	Linz	14.2862742	48.3066489	female	Austria	1233	8	4	12	38	low	14	-1	0	2013-03-22 00:00:00	2	4	200	0	11600	11400	private	sunny	-2.3	25.84
67	Linz	14.2862742	48.3066489	female	Austria	1234	8	7	11	38	low	27	-1	0	2013-03-22 00:00:00	2	4	200	0	11600	11400	private	sunny	-2.3	25.84
36	Linz	14.2862742	48.3066489	female	Austria	1235	6	82	22	46	average	57	-1	0	2013-03-22 00:00:00	2	3	200	0	8700	8500	private	sunny	-2.3	25.84
54	Linz	14.2862742	48.3066489	female	Austria	1236	8	3	17	13	low	30	-1	0	2013-03-22 00:00:00	2	4	200	0	11600	11400	private	sunny	-2.3	25.84
22	Jihlava	15.5909008	49.3963828	female	CR	1237	1	97	29	51	average	62	0	0	2013-03-22 00:00:00	1	1	0	0	1450	1450	business	sunny	-2.3	25.84
43	Linz	14.2862742	48.3066489	male	Austria	1238	8	20	15	24	low	16	-1	0	2013-03-22 00:00:00	2	4	200	0	11600	11400	private	sunny	-2.3	25.84
29	Linz	14.2862742	48.3066489	male	Austria	1239	4	81	23	44	average	71	-1	0	2013-03-22 00:00:00	2	2	200	0	5800	5600	private	sunny	-2.3	25.84
46	Karlovy Vary	12.8690381	50.2311075	male	CR	1240	4	81	30	51	average	45	-1	0	2013-03-22 00:00:00	2	2	200	0	5800	5600	private	sunny	-2.3	25.84
71	Dresden	13.7397044	51.0497456	female	Germany	1241	8	1	18	38	low	14	-1	0	2013-03-22 00:00:00	2	4	200	0	11600	11400	private	sunny	-2.3	25.84
46	Budweis	14.4757883	48.9763169	male	CR	1242	2	100	58	56	average	69	0	0	2013-03-22 00:00:00	1	2	0	0	2900	2900	private	sunny	-2.3	25.84
25	Ostrava	18.2825511	49.8341497	female	CR	1243	6	18	15	32	low	29	-1	0	2013-03-22 00:00:00	2	3	200	0	8700	8500	private	sunny	-2.3	25.84
32	Linz	14.2862742	48.3066489	female	Austria	1244	8	5	16	13	low	25	-1	0	2013-03-22 00:00:00	2	4	200	0	11600	11400	private	sunny	-2.3	25.84
57	Linz	14.2862742	48.3066489	male	Austria	1245	8	4	13	32	low	13	-1	0	2013-03-22 00:00:00	2	4	200	0	11600	11400	private	sunny	-2.3	25.84
48	Linz	14.2862742	48.3066489	male	Austria	1246	4	47	60	42	average	60	-1	0	2013-03-22 00:00:00	2	2	200	0	5800	5600	private	sunny	-2.3	25.84
20	Liberec	15.0663036	50.7709239	female	CR	1247	14	94	65	60	average	54	-1	0	2013-03-23 00:00:00	7	2	600	0	20300	19700	private	cloudy	0.6	25.84
26	Linz	14.2862742	48.3066489	male	Austria	1248	14	82	58	54	average	48	-1	0	2013-03-23 00:00:00	7	2	600	0	20300	19700	private	cloudy	0.6	25.84
32	München	11.5836375	48.1364669	female	Germany	1249	14	9	18	30	low	16	-1	0	2013-03-23 00:00:00	7	2	600	0	20300	19700	private	cloudy	0.6	25.84
58	Wien	16.3736767	48.2115631	male	Austria	1250	2	34	25	15	low	37	0	0	2013-03-24 00:00:00	2	1	200	0	2900	2700	private	cloudy	0.5	25.84
24	Wien	16.3736767	48.2115631	female	Austria	1251	2	4	15	13	low	37	0	0	2013-03-24 00:00:00	2	1	200	0	2900	2700	private	cloudy	0.5	25.84
55	Olomouc	17.2498364	49.5961789	female	CR	1252	2	60	92	92	high	88	0	0	2013-03-26 00:00:00	1	2	0	0	2900	2900	business	cloudy	1.8	25.8
29	Olomouc	17.2498364	49.5961789	male	CR	1253	4	64	82	96	high	86	0	0	2013-03-26 00:00:00	1	4	0	0	5800	5800	business	cloudy	1.8	25.8
30	Olomouc	17.2498364	49.5961789	male	CR	1254	2	46	65	86	high	88	0	0	2013-03-26 00:00:00	1	2	0	0	2900	2900	business	cloudy	1.8	25.8
65	Budweis	14.4757883	48.9763169	male	CR	1255	2	72	92	97	high	92	0	0	2013-03-27 00:00:00	1	2	0	0	2900	2900	business	rain/snow	1.7	25.81
58	Budweis	14.4757883	48.9763169	male	CR	1256	14	52	36	52	average	61	-1	0	2013-03-28 00:00:00	7	2	200	0	20300	20100	business	rain/snow	2.7	25.73
74	Karlovy Vary	12.8690381	50.2311075	male	CR	1257	14	36	22	40	low	23	-1	0	2013-03-30 00:00:00	7	2	600	0	20300	19700	private	cloudy	7.0	25.73
20	Hradec Králové	15.8353464	50.2100194	male	CR	1258	28	83	22	53	average	55	-1	0	2013-03-30 00:00:00	7	4	600	0	40600	40000	private	cloudy	7.0	25.73
25	Budweis	14.4757883	48.9763169	female	CR	1259	14	100	22	41	average	69	-1	0	2013-03-30 00:00:00	7	2	600	0	20300	19700	private	cloudy	7.0	25.73
24	Hradec Králové	15.8353464	50.2100194	female	CR	1260	28	47	36	59	average	62	-1	0	2013-03-30 00:00:00	7	4	600	0	40600	40000	private	cloudy	7.0	25.73
78	Praha	14.4212806	50.0874967	male	CR	1261	28	98	22	48	average	63	-1	0	2013-03-30 00:00:00	7	4	600	0	40600	40000	private	cloudy	7.0	25.73
32	Budweis	14.4757883	48.9763169	female	CR	1262	7	50	68	56	average	61	-1	0	2013-03-30 00:00:00	7	1	600	0	10150	9550	private	cloudy	7.0	25.73
41	Wien	16.3736767	48.2115631	female	Austria	1263	2	10	20	23	low	23	0	0	2013-03-31 00:00:00	2	1	200	0	2900	2700	private	sunny	6.9	25.73
51	Wien	16.3736767	48.2115631	female	Austria	1264	2	11	18	30	low	32	0	0	2013-03-31 00:00:00	2	1	200	0	2900	2700	private	sunny	6.9	25.73
49	Wien	16.3736767	48.2115631	female	Austria	1265	2	4	14	24	low	39	0	0	2013-03-31 00:00:00	2	1	200	0	2900	2700	private	sunny	6.9	25.73
50	Wien	16.3736767	48.2115631	female	Austria	1266	2	2	21	14	low	39	0	0	2013-03-31 00:00:00	2	1	200	0	2900	2700	private	sunny	6.9	25.73
62	Wien	16.3736767	48.2115631	female	Austria	1267	2	17	9	21	low	38	0	0	2013-03-31 00:00:00	2	1	200	0	2900	2700	private	sunny	6.9	25.73
73	Wien	16.3736767	48.2115631	male	Austria	1268	2	36	15	27	low	37	0	0	2013-03-31 00:00:00	2	1	200	0	2900	2700	private	sunny	6.9	25.73
56	Wien	16.3736767	48.2115631	male	Austria	1269	8	33	28	30	low	23	0	0	2013-03-31 00:00:00	2	4	200	0	11600	11400	private	sunny	6.9	25.73
74	Berlin	13.3908886	52.5176189	female	Germany	1270	2	60	75	94	high	90	0	0	2013-04-02 00:00:00	1	2	0	0	2900	2900	business	cloudy	0.4	25.88
22	Olomouc	17.2498364	49.5961789	female	CR	1271	2	61	65	96	high	81	0	0	2013-04-02 00:00:00	1	2	0	0	2900	2900	business	cloudy	0.4	25.88
20	Kladno	14.1022533	50.1484586	female	CR	1272	2	72	80	91	high	92	0	0	2013-04-02 00:00:00	1	2	0	0	2900	2900	business	cloudy	0.4	25.88
27	Olomouc	17.2498364	49.5961789	male	CR	1273	2	72	90	96	high	84	0	0	2013-04-02 00:00:00	1	2	0	0	2900	2900	business	cloudy	0.4	25.88
65	Olomouc	17.2498364	49.5961789	female	CR	1274	3	54	80	98	high	90	0	0	2013-04-02 00:00:00	1	3	0	0	4350	4350	business	cloudy	0.4	25.88
27	Praha	14.4212806	50.0874967	male	CR	1275	14	17	17	22	low	25	-1	0	2013-04-06 00:00:00	7	2	600	0	20300	19700	private	sunny	11.4	25.77
40	Praha	14.4212806	50.0874967	female	CR	1276	14	17	28	32	low	21	-1	0	2013-04-06 00:00:00	7	2	600	0	20300	19700	private	sunny	11.4	25.77
75	Budweis	14.4757883	48.9763169	female	CR	1277	14	100	33	58	average	71	-1	0	2013-04-06 00:00:00	7	2	600	0	20300	19700	private	sunny	11.4	25.77
31	Hradec Králové	15.8353464	50.2100194	male	CR	1278	28	82	66	57	average	60	-1	0	2013-04-06 00:00:00	7	4	600	0	40600	40000	private	sunny	11.4	25.77
29	Linz	14.2862742	48.3066489	female	Austria	1279	21	70	78	86	high	90	-1	0	2013-04-06 00:00:00	21	1	1400	0	30450	29050	private	sunny	11.4	25.77
20	Linz	14.2862742	48.3066489	female	Austria	1280	42	69	78	85	high	82	-1	0	2013-04-06 00:00:00	21	2	1400	0	60900	59500	private	sunny	11.4	25.77
47	Budweis	14.4757883	48.9763169	female	CR	1281	14	98	66	51	average	53	-1	0	2013-04-06 00:00:00	7	2	600	0	20300	19700	private	sunny	11.4	25.77
81	Dresden	13.7397044	51.0497456	female	Germany	1282	14	99	68	52	average	64	-1	0	2013-04-06 00:00:00	7	2	600	0	20300	19700	private	sunny	11.4	25.77
77	Jihlava	15.5909008	49.3963828	male	CR	1283	42	57	92	91	high	83	-1	0	2013-04-06 00:00:00	21	2	1400	0	60900	59500	private	sunny	11.4	25.77
34	Hradec Králové	15.8353464	50.2100194	male	CR	1284	28	47	67	47	average	53	-1	0	2013-04-06 00:00:00	7	4	600	0	40600	40000	private	sunny	11.4	25.77
82	Brno	16.6153758	49.1921808	female	CR	488	8	50	51	28	average	54	-1	-1	2012-07-06 00:00:00	2	4	200	0	9680	9480	private	rain/snow	31.1	25.5
35	Ostrava	18.2825511	49.8341497	female	CR	489	40	26	91	95	high	73	-1	-1	2012-07-06 00:00:00	20	2	200	0	48400	48200	private	rain/snow	31.1	25.5
55	Praha	14.4212806	50.0874967	male	CR	490	40	57	98	88	high	88	-1	-1	2012-07-06 00:00:00	20	2	200	6000	48400	54200	private	rain/snow	31.1	25.5
20	Brno	16.6153758	49.1921808	male	CR	491	4	34	52	51	average	72	-1	-1	2012-07-06 00:00:00	2	2	200	600	4840	5240	private	rain/snow	31.1	25.5
54	Nitra	18.0902903	48.3139558	male	Slovakia	492	2	25	92	96	high	98	-1	-1	2012-07-07 00:00:00	1	2	200	0	2420	2220	private	rain/snow	28.2	25.5
77	Nitra	18.0902903	48.3139558	female	Slovakia	493	2	26	93	88	high	90	-1	-1	2012-07-07 00:00:00	1	2	200	300	2420	2520	private	rain/snow	28.2	25.5
77	Wien	16.3736767	48.2115631	male	Austria	494	7	48	38	16	low	31	-1	-1	2012-07-07 00:00:00	7	1	200	1050	8470	9320	private	rain/snow	28.2	25.5
31	Nitra	18.0902903	48.3139558	male	Slovakia	495	2	59	97	98	high	87	-1	-1	2012-07-07 00:00:00	1	2	200	300	2420	2520	private	rain/snow	28.2	25.5
31	Nitra	18.0902903	48.3139558	male	Slovakia	496	4	60	90	81	high	86	-1	-1	2012-07-07 00:00:00	1	4	200	600	4840	5240	private	rain/snow	28.2	25.5
65	München	11.5836375	48.1364669	female	Germany	497	2	26	89	100	high	90	-1	-1	2012-07-07 00:00:00	1	2	200	0	2420	2220	private	rain/snow	28.2	25.5
81	Wien	16.3736767	48.2115631	male	Austria	498	7	39	40	21	low	16	-1	-1	2012-07-07 00:00:00	7	1	200	1050	8470	9320	private	rain/snow	28.2	25.5
54	Salzburg	13.0475658	47.798095	male	Austria	499	2	49	97	83	high	73	-1	-1	2012-07-07 00:00:00	1	2	200	300	2420	2520	private	rain/snow	28.2	25.5
43	Linz	14.2862742	48.3066489	female	Austria	500	2	35	66	58	average	46	-1	-1	2012-07-13 00:00:00	2	1	200	0	2420	2220	private	sunny	25.2	25.4
40	Ostrava	18.2825511	49.8341497	male	CR	501	4	51	43	50	average	70	-1	-1	2012-07-13 00:00:00	2	2	200	600	4840	5240	private	sunny	25.2	25.4
47	Linz	14.2862742	48.3066489	female	Austria	502	8	60	57	52	average	70	-1	-1	2012-07-13 00:00:00	2	4	200	1200	9680	10680	private	sunny	25.2	25.4
42	Linz	14.2862742	48.3066489	female	Austria	503	2	34	59	51	average	55	-1	-1	2012-07-13 00:00:00	2	1	200	0	2420	2220	private	sunny	25.2	25.4
70	Praha	14.4212806	50.0874967	female	CR	504	20	53	81	94	high	89	-1	-1	2012-07-13 00:00:00	20	1	200	0	24200	24000	private	sunny	25.2	25.4
74	Linz	14.2862742	48.3066489	male	Austria	505	2	57	67	51	average	71	-1	-1	2012-07-13 00:00:00	2	1	200	300	2420	2520	private	sunny	25.2	25.4
81	Linz	14.2862742	48.3066489	female	Austria	506	2	48	41	60	average	43	-1	-1	2012-07-13 00:00:00	2	1	200	300	2420	2520	private	sunny	25.2	25.4
62	Linz	14.2862742	48.3066489	female	Austria	507	6	59	65	58	average	57	-1	-1	2012-07-13 00:00:00	2	3	200	0	7260	7060	private	sunny	25.2	25.4
53	Linz	14.2862742	48.3066489	male	Austria	508	4	64	66	42	average	55	-1	-1	2012-07-13 00:00:00	2	2	200	600	4840	5240	private	sunny	25.2	25.4
38	Linz	14.2862742	48.3066489	male	Austria	509	8	59	41	35	average	54	-1	-1	2012-07-13 00:00:00	2	4	200	0	9680	9480	private	sunny	25.2	25.4
41	München	11.5836375	48.1364669	female	Germany	532	8	58	44	35	average	54	-1	-1	2012-07-20 00:00:00	2	4	200	0	9680	9480	private	cloudy	23.1	25.57
58	Linz	14.2862742	48.3066489	female	Austria	533	8	57	58	34	average	58	-1	-1	2012-07-20 00:00:00	2	4	200	1200	9680	10680	private	cloudy	23.1	25.57
80	Ústí nad Labem	14.0390819	50.6700692	male	CR	534	21	53	26	30	low	24	-1	-1	2012-07-20 00:00:00	7	3	200	3150	25410	28360	private	cloudy	23.1	25.57
31	Pilsen	13.3771556	49.7490406	male	CR	535	4	50	51	25	average	42	-1	-1	2012-07-20 00:00:00	2	2	200	600	4840	5240	private	cloudy	23.1	25.57
56	München	11.5836375	48.1364669	male	Germany	536	4	64	65	26	average	69	-1	-1	2012-07-20 00:00:00	2	2	200	600	4840	5240	private	cloudy	23.1	25.57
43	Praha	14.4212806	50.0874967	male	CR	537	7	54	23	31	low	39	-1	-1	2012-07-21 00:00:00	7	1	200	1050	8470	9320	private	cloudy	23.8	25.57
22	Praha	14.4212806	50.0874967	male	CR	538	2	49	89	83	high	62	-1	-1	2012-07-21 00:00:00	1	2	200	300	2420	2520	private	cloudy	23.8	25.57
19	Brno	16.6153758	49.1921808	female	CR	539	28	47	37	15	low	24	-1	-1	2012-07-21 00:00:00	7	4	200	4200	33880	37880	private	cloudy	23.8	25.57
